feature,kind,nunique,pct_null,std,n_normal,n_fault,mean_normal,std_normal,mean_fault,std_fault,auc,auc_dist,d_pooled,quyet_dinh,ly_do
link-h2-s1.status.state_up,numeric,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-h2-s1.capacity.bwMbps,config,1,0.0,0.0,902,160,20.0,0.0,20.0,0.0,0.5,0.0,,LOAI,GIÁ TRỊ CẤU HÌNH do chính kịch bản inject ghi vào twin (LinkDegrade.apply đặt link.dt4n_bw). Dùng làm feature = đọc lại nhãn của chính mình -> leakage
link-h2-s1.traffic.interfaceLossPct,numeric,1,0.0,0.0,902,160,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-h2-s1.traffic.rateValid,bool,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-h2-s1.traffic.qdiscValid,bool,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-h3-s1.status.state_up,numeric,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-h3-s1.capacity.bwMbps,config,1,0.0,0.0,902,160,20.0,0.0,20.0,0.0,0.5,0.0,,LOAI,GIÁ TRỊ CẤU HÌNH do chính kịch bản inject ghi vào twin (LinkDegrade.apply đặt link.dt4n_bw). Dùng làm feature = đọc lại nhãn của chính mình -> leakage
link-h3-s1.traffic.interfaceLossPct,numeric,1,0.0,0.0,902,160,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-h3-s1.traffic.rateValid,bool,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-h3-s1.traffic.lossPct,numeric,1,0.0,0.0,902,160,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-h3-s1.traffic.qdiscValid,bool,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s1-s2.traffic.interfaceLossPct,numeric,1,0.0,0.0,902,160,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s1-s2.traffic.rateValid,bool,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s1-s3.traffic.interfaceLossPct,numeric,1,0.0,0.0,902,160,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s1-s3.traffic.rateValid,bool,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s1-s3.traffic.lossPct,numeric,1,0.19,0.0,901,159,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s2-s3.status.state_up,numeric,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s2-s3.traffic.interfaceLossPct,numeric,1,0.0,0.0,902,160,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s2-s3.traffic.rateValid,bool,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s2-srv1.status.state_up,numeric,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s2-srv1.capacity.bwMbps,config,1,0.0,0.0,902,160,20.0,0.0,20.0,0.0,0.5,0.0,,LOAI,GIÁ TRỊ CẤU HÌNH do chính kịch bản inject ghi vào twin (LinkDegrade.apply đặt link.dt4n_bw). Dùng làm feature = đọc lại nhãn của chính mình -> leakage
link-s2-srv1.traffic.interfaceLossPct,numeric,1,0.0,0.0,902,160,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s2-srv1.traffic.rateValid,bool,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s2-srv1.traffic.qdiscValid,bool,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s3-srv2.status.state_up,numeric,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s3-srv2.capacity.bwMbps,config,1,0.0,0.0,902,160,20.0,0.0,20.0,0.0,0.5,0.0,,LOAI,GIÁ TRỊ CẤU HÌNH do chính kịch bản inject ghi vào twin (LinkDegrade.apply đặt link.dt4n_bw). Dùng làm feature = đọc lại nhãn của chính mình -> leakage
link-s3-srv2.traffic.interfaceLossPct,numeric,1,0.0,0.0,902,160,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s3-srv2.traffic.rateValid,bool,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s3-srv2.traffic.qdiscValid,bool,1,0.0,0.0,902,160,1.0,0.0,1.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-h3-s1.traffic.qdiscDropDelta,numeric,1,0.0,0.0,902,160,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
link-s1-s3.traffic.qdiscDropDelta,numeric,1,0.19,0.0,901,159,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
n_rate_missing,numeric,1,0.0,0.0,902,160,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
is_warmup,numeric,1,0.0,0.0,902,160,0.0,0.0,0.0,0.0,0.5,0.0,,LOAI,hằng số trên TOÀN BỘ dataset -> không mang thông tin
load_schedule,numeric,0,100.0,,0,0,,,,,,,,LOAI,thiếu quá nhiều -> không đủ bằng chứng
