run_id,tick,y,score,judgeable,alarm_q01
C-vary-s2002-r1,33,0,-0.3842433496807077,True,False
C-vary-s2002-r1,34,0,-0.38700086147948864,True,False
C-vary-s2002-r1,35,0,-0.3856011945710474,True,False
C-vary-s2002-r1,36,0,-0.5918726955885807,True,False
C-vary-s2002-r1,37,0,-0.6415505899810193,True,True
C-vary-s2002-r1,38,0,-0.4646084574584649,True,False
C-vary-s2002-r1,39,0,-0.4201174208128161,True,False
C-vary-s2002-r1,40,0,-0.4317191510646458,True,False
C-vary-s2002-r1,41,0,-0.503186627734852,True,False
C-vary-s2002-r1,42,0,-0.4380371618850268,True,False
C-vary-s2002-r1,43,0,-0.4324615940619701,True,False
C-vary-s2002-r1,44,0,-0.4318786636656327,True,False
C-vary-s2002-r1,45,0,-0.43112973239015673,True,False
C-vary-s2002-r1,46,0,-0.46874600306472025,True,False
C-vary-s2002-r1,47,0,-0.5584289041543086,True,False
C-vary-s2002-r1,48,0,-0.4100306651153347,True,False
C-vary-s2002-r1,49,0,-0.4178073168557256,True,False
C-vary-s2002-r1,50,0,-0.4196226876096523,True,False
C-vary-s2002-r1,51,0,-0.41687806185472015,True,False
C-vary-s2002-r1,52,0,-0.5127481548354601,True,False
C-vary-s2002-r1,53,0,-0.370741441985728,True,False
C-vary-s2002-r1,54,0,-0.3629828556964186,True,False
C-vary-s2002-r1,55,0,-0.36524637346430294,True,False
C-vary-s2002-r1,56,0,-0.5338269943756562,True,False
C-vary-s2002-r1,57,0,-0.4551996554266344,True,False
C-vary-s2002-r1,58,0,-0.4267543709744382,True,False
C-vary-s2002-r1,59,0,-0.4298626145727494,True,False
F-admin_down-s1-s2-s3001-r1,1,0,,False,False
F-admin_down-s1-s2-s3001-r1,2,0,-0.36115453525099844,True,False
F-admin_down-s1-s2-s3001-r1,3,0,-0.4859600370996198,True,False
F-admin_down-s1-s2-s3001-r1,4,0,-0.41017408822566664,True,False
F-admin_down-s1-s2-s3001-r1,5,0,-0.3589893250710067,True,False
F-admin_down-s1-s2-s3001-r1,6,0,-0.3650260478689461,True,False
F-admin_down-s1-s2-s3001-r1,7,0,-0.36349297061504604,True,False
F-admin_down-s1-s2-s3001-r1,8,0,-0.36605833205550875,True,False
F-admin_down-s1-s2-s3001-r1,9,0,-0.3770704486809593,True,False
F-admin_down-s1-s2-s3001-r1,10,0,-0.3720041048641376,True,False
F-admin_down-s1-s2-s3001-r1,11,0,-0.3678422572622373,True,False
F-admin_down-s1-s2-s3001-r1,12,0,-0.3596154467116339,True,False
F-admin_down-s1-s2-s3001-r1,13,0,-0.36029589325383776,True,False
F-admin_down-s1-s2-s3001-r1,14,0,-0.3640294142943474,True,False
F-admin_down-s1-s2-s3001-r1,15,0,-0.3622211121187263,True,False
F-admin_down-s1-s2-s3001-r1,16,0,-0.36814134627026707,True,False
F-admin_down-s1-s2-s3001-r1,17,0,-0.3616129380486063,True,False
F-admin_down-s1-s2-s3001-r1,18,0,-0.3710998538584463,True,False
F-admin_down-s1-s2-s3001-r1,19,0,-0.3714474660358966,True,False
F-admin_down-s1-s2-s3001-r1,20,0,-0.35914689735168276,True,False
F-admin_down-s1-s2-s3001-r1,21,1,-0.6318721473232587,True,False
F-admin_down-s1-s2-s3001-r1,22,1,-0.5979574684808154,True,False
F-admin_down-s1-s2-s3001-r1,23,1,-0.5145124526016212,True,False
F-admin_down-s1-s2-s3001-r1,24,1,-0.5122495837437493,True,False
F-admin_down-s1-s2-s3001-r1,25,1,-0.5162845389526785,True,False
F-admin_down-s1-s2-s3001-r1,26,1,-0.5094962865560985,True,False
F-admin_down-s1-s2-s3001-r1,27,1,-0.5149548083580068,True,False
F-admin_down-s1-s2-s3001-r1,28,1,-0.5098467558377424,True,False
F-admin_down-s1-s2-s3001-r1,29,1,-0.508939593850131,True,False
F-admin_down-s1-s2-s3001-r1,30,1,-0.5151538548947545,True,False
F-admin_down-s1-s2-s3001-r1,31,1,-0.5073838452180052,True,False
F-admin_down-s1-s2-s3001-r1,32,1,-0.510190036780729,True,False
F-admin_down-s1-s2-s3001-r1,33,1,-0.5103883283433172,True,False
F-admin_down-s1-s2-s3001-r1,34,1,-0.5038708434994386,True,False
F-admin_down-s1-s2-s3001-r1,35,1,-0.5159413516159458,True,False
F-admin_down-s1-s2-s3001-r1,36,1,-0.5115065654603351,True,False
F-admin_down-s1-s2-s3001-r1,37,1,-0.5088390014948498,True,False
F-admin_down-s1-s2-s3001-r1,38,1,-0.5070181806185801,True,False
F-admin_down-s1-s2-s3001-r1,39,1,-0.5126889234078847,True,False
F-admin_down-s1-s2-s3001-r1,40,1,-0.5145225608819708,True,False
F-admin_down-s1-s2-s3001-r1,41,0,-0.6536591697418501,True,True
F-admin_down-s1-s2-s3001-r1,42,0,-0.59030020186191,True,False
F-admin_down-s1-s2-s3001-r1,43,0,-0.36516082332844074,True,False
F-admin_down-s1-s2-s3001-r1,44,0,-0.3607061065738759,True,False
F-admin_down-s1-s2-s3001-r1,45,0,-0.35776943328061406,True,False
F-admin_down-s1-s2-s3001-r1,46,0,-0.3602484090065366,True,False
F-admin_down-s1-s2-s3001-r1,47,0,-0.36483901358516807,True,False
F-admin_down-s1-s2-s3001-r1,48,0,-0.36011227659259676,True,False
F-admin_down-s1-s2-s3001-r1,49,0,-0.35461843126237563,True,False
F-admin_down-s1-s2-s3001-r1,50,0,-0.3550353129903372,True,False
F-admin_down-s1-s2-s3001-r1,51,0,-0.36026677235189053,True,False
F-admin_down-s1-s2-s3001-r1,52,0,-0.3676301166715699,True,False
F-admin_down-s1-s2-s3001-r1,53,0,-0.3657698841160227,True,False
F-admin_down-s1-s2-s3001-r1,54,0,-0.3586685431686938,True,False
F-admin_down-s1-s2-s3001-r1,55,0,-0.3585025849531977,True,False
F-admin_down-s1-s2-s3001-r1,56,0,-0.35572798723258303,True,False
F-admin_down-s1-s2-s3001-r1,57,0,-0.35786367052949597,True,False
F-admin_down-s1-s2-s3001-r1,58,0,-0.35501809146027363,True,False
F-admin_down-s1-s2-s3001-r1,59,0,-0.3603436397585873,True,False
F-admin_down-s1-s3-s3002-r1,1,0,,False,False
F-admin_down-s1-s3-s3002-r1,2,0,-0.3665478353757887,True,False
F-admin_down-s1-s3-s3002-r1,3,0,-0.36734553546791787,True,False
F-admin_down-s1-s3-s3002-r1,4,0,-0.35980239497327304,True,False
F-admin_down-s1-s3-s3002-r1,5,0,-0.3722491310344729,True,False
F-admin_down-s1-s3-s3002-r1,6,0,-0.36536192225077435,True,False
F-admin_down-s1-s3-s3002-r1,7,0,-0.37021270962929537,True,False
F-admin_down-s1-s3-s3002-r1,8,0,-0.38222714139100067,True,False
F-admin_down-s1-s3-s3002-r1,9,0,-0.5179023097397009,True,False
F-admin_down-s1-s3-s3002-r1,10,0,-0.4466401169448499,True,False
F-admin_down-s1-s3-s3002-r1,11,0,-0.37731626436224397,True,False
F-admin_down-s1-s3-s3002-r1,12,0,-0.35446793423470074,True,False
F-admin_down-s1-s3-s3002-r1,13,0,-0.38407207659424153,True,False
F-admin_down-s1-s3-s3002-r1,14,0,-0.37921605070056624,True,False
F-admin_down-s1-s3-s3002-r1,15,0,-0.36077422421060484,True,False
F-admin_down-s1-s3-s3002-r1,16,0,-0.37098366822946144,True,False
F-admin_down-s1-s3-s3002-r1,17,0,-0.3801897563592445,True,False
F-admin_down-s1-s3-s3002-r1,18,0,-0.3659545919499186,True,False
F-admin_down-s1-s3-s3002-r1,19,0,-0.3593618916417217,True,False
F-admin_down-s1-s3-s3002-r1,20,0,-0.36839546549099234,True,False
F-admin_down-s1-s3-s3002-r1,21,1,-0.6026536764616712,True,False
F-admin_down-s1-s3-s3002-r1,22,1,-0.5481281692713944,True,False
F-admin_down-s1-s3-s3002-r1,23,1,-0.5011152848813075,True,False
F-admin_down-s1-s3-s3002-r1,24,1,-0.4802096474903861,True,False
F-admin_down-s1-s3-s3002-r1,25,1,-0.4767491851979997,True,False
F-admin_down-s1-s3-s3002-r1,26,1,-0.4724762350859123,True,False
F-admin_down-s1-s3-s3002-r1,27,1,-0.5084225537286577,True,False
F-admin_down-s1-s3-s3002-r1,28,1,-0.4949851878202165,True,False
F-admin_down-s1-s3-s3002-r1,29,1,-0.4717252439993385,True,False
F-admin_down-s1-s3-s3002-r1,30,1,-0.480020929708374,True,False
F-admin_down-s1-s3-s3002-r1,31,1,-0.4920069144317821,True,False
F-admin_down-s1-s3-s3002-r1,32,1,-0.4923151512552777,True,False
F-admin_down-s1-s3-s3002-r1,33,1,-0.494362268016554,True,False
F-admin_down-s1-s3-s3002-r1,34,1,-0.4831944365761451,True,False
F-admin_down-s1-s3-s3002-r1,35,1,-0.4730355716151189,True,False
F-admin_down-s1-s3-s3002-r1,36,1,-0.48635327470956846,True,False
F-admin_down-s1-s3-s3002-r1,37,1,-0.493820810280037,True,False
F-admin_down-s1-s3-s3002-r1,38,1,-0.4822304890696059,True,False
F-admin_down-s1-s3-s3002-r1,39,1,-0.46510829606158777,True,False
F-admin_down-s1-s3-s3002-r1,40,1,-0.4782548589244621,True,False
F-admin_down-s1-s3-s3002-r1,41,0,-0.6014377879834671,True,False
F-admin_down-s1-s3-s3002-r1,42,0,-0.5271932340974225,True,False
F-admin_down-s1-s3-s3002-r1,43,0,-0.3651037049245482,True,False
F-admin_down-s1-s3-s3002-r1,44,0,-0.361420480722836,True,False
F-admin_down-s1-s3-s3002-r1,45,0,-0.4971614752743967,True,False
F-admin_down-s1-s3-s3002-r1,46,0,-0.40922093442875074,True,False
F-admin_down-s1-s3-s3002-r1,47,0,-0.37509865543532817,True,False
